,table,,table,,page,
1205,,"RIVER BHAVANI AT BHAVANI,
TAMILNADU","TAMIL
NADU",,27.0,
1201,,"RIVER BHAVANI AT
PATHIRAKALIAMMAN KOIL,
TAMILNADU","TAMIL
NADU",,20.0,
1204,,"RIVER BHAVANI AT
SIRUMUGAI, TAMILNADU","TAMIL
NADU",,21.0,
1208,,"RIVER BHAVANI AT
ELACHIVAZHY, KERALA",KERALA,,21.0,
1321,,"RIVER BHAVANI AT BHAVANI
SAGAR, TAMILNADU","TAMIL
NADU",,27.0,
3019,,"RIVER BHAVANI AT D/S OF
BHAVANISAGAR,
SATHYAMANGALAM, ERODE,
TAMILNADU","TAMIL
NADU",,27.0,
3020,,"RIVER BHAVANI AT U/S OF
KALINGARAYAN CANAL (B5),
ERODE, TAMILNADU","TAMIL
NADU",,28.0,
3021,,"RIVER BHAVANI AT D/S OF
KALINGARAYAN CANAL
(B10), ERODE, TAMILNADU","TAMIL
NADU",,27.0,
1893,,"RIVER YAGACHI NEAR
PUMPING STATION. HASSAN
CITY",KARNATAKA,,21.0,
1199,,"RIVER HEMAVATI AT D/S OF
HOLENARASIPURA TOWN AT
RAMADEVALA WEIR",KARNATAKA,,24.0,
1166,,"RIVER SHIMSHA AT D/S OF
BRIDGE, HALAGUR,",KARNATAKA,,22.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1200,,"RIVER SHIMSHA AT D/S OF
HIGHWAY BRIDGE, YEDIYAR,",KARNATAKA,,25.0,
3567,,"RIVER SHIMSHA D/S NEAR
MADDUAR TOWN",KARNATAKA,,22.0,
3580,,"RIVER SHIMSHA AT WATER
SUPPLY INTAKE POINT AT
MADDUAR",KARNATAKA,,20.0,
3022,,"RIVER THIRUMANIMUTHAR
AT SALEM, D/S OF SAGO &
TEXTILE DYING INDUSTRIES,
TAMILNADU","TAMIL
NADU",,21.0,
3023,,"RIVER VASISTA AT SALEM,
D/S OF SAGO INDUSRIES
EFFLUENT, TAMILNADU","TAMIL
NADU",,20.0,
1319,,"RIVER AMRAVATI AT 1KM
D/S FROM EFF.DIS. PT. AT
MADHUTHUKKULAM","TAMIL
NADU",,26.0,
4812,,"RIVER LOCATED ON THE
SOUTHERN BANK OF
AMARAVATHI AND
DOWNSTREAM SIDE OF
KARUR DYEING CLUSTER","TAMIL
NADU",,27.4,
4813,,"RIVER LOCATED ADJACENT
TO KARU MSW DUMP SITE
AND ON THE NORTHERN
BANK OF AMARAVATHI AND
DOWNSTREAM SIDE OF
KARU DYEING CLUSTER","TAMIL
NADU",,30.3,
1165,,"RIVER ARKAVATHI AT D/S OF
KANAKAPURA TOWN,",KARNATAKA,,25.0,
2778,,"RIVER ARKAVATHI AT T.G.
HALLI RESERVOIR,",KARNATAKA,,25.0,
2779,,"RIVER ARKAVATHI AT
HESARAGHATTA RESERVOIR,",KARNATAKA,,25.0,
4108,,"RIVER AKRAVATHI BEFORE
CONFLUENCE AT SANGAM",KARNATAKA,,25.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
41,,"RIVER KABINI AT CAUSE WAY
SATTUR",KARNATAKA,,21.0,
1197,,"RIVER KABINI AT SARAGUR
VILLAGE D/S,",KARNATAKA,,20.0,
1207,,"RIVER KABINI AT
MUTHANKARA, KERALA",KERALA,,25.0,
1445,,"RIVER KABINI AT WATER
INTAKE OF KIADB AT
NANJANGUD,",KARNATAKA,,20.0,
2775,,"RIVER KABINI AT BATHING
GHAT, NANJANAGUD",KARNATAKA,,20.0,
3575,,"RIVER KABINI U/S INTAKE
POINT TO NANJANAGUD &
GUNDLUPET AT DEBUR",KARNATAKA,,20.0,
3577,,"RIVER KABINI AT WATER
SUPPLY INTAKE POINT TO T.
NARASIPURA",KARNATAKA,,22.0,
1196,,"RIVER LAKSHMANTIRTHA AT
D/S OF HUNSUR TOWN,",KARNATAKA,,20.0,
2772,,"RIVER LAKSHMANTIRTHA AT
D/S OF KATTEMALAVADI",KARNATAKA,,21.0,
3572,,"RIVER LAKSHMANTIRTHA AT
WATER SUPPLY INTAKE
POINT TO HUNSUR TOWN",KARNATAKA,,20.0,
3024,,"RIVER SARABANGA AT
SALEM, D/S OF TEXTILE
DYEING INDUSTRIES
EFFLUENT, TAMILNADU","TAMIL
NADU",,28.0,
10033,,"RIVER ADYAR AT
NANDAMBAKKAM","TAMIL
NADU",,32.0,
10034,,"RIVER ADYAR AT
EKKATTUTHANGAL","TAMIL
NADU",,26.0,
10035,,"RIVER ADYAR AT
JAFERKHANPET","TAMIL
NADU",,26.0,
10036,,"RIVER ADYAR AT
MARAIMALAI BRIDGE","TAMIL
NADU",,26.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
10038,,"RIVER ADYAR AT
KOTTURPURAM BRIDGE","TAMIL
NADU",,24.0,
10039,,"RIVER ADYAR NEAR BOAT
CLUB","TAMIL
NADU",,24.0,
10040,,"RIVER COOUM AT ANNA
NAGAR","TAMIL
NADU",,28.0,
10041,,"RIVER COOUM AT
ARUMBAKKAM","TAMIL
NADU",,28.0,
10042,,"RIVER COOUM AT
AMANJIKARAI","TAMIL
NADU",,26.0,
10043,,"RIVER COOUM AT
POONAMALLE","TAMIL
NADU",,26.0,
10044,,"RIVER COOUM AT COLLAGE
ROAD","TAMIL
NADU",,26.0,
10045,,"RIVER COOUM NEAR
CENTRAL JAIL","TAMIL
NADU",,26.0,
10046,,"RIVER COOUM AT NAPIER
BRIDGE","TAMIL
NADU",,27.0,
10059,,"RIVER VAIGAI AT MADURAI
U/S","TAMIL
NADU",,25.0,
10060,,"RIVER VAIGAI AT MADURAI
D/S","TAMIL
NADU",,25.0,
4100,,"RIVER SUVARANVATHI
RESERVOIR, ATTIGULLIPURA
CHAMARAJANAGAR",KARNATAKA,,16.0,
4107,,"RIVER DAKSHINA PINAKINI
NEAR MUGALUR BRIDGE
MUGALUR, BENGALURU",KARNATAKA,,25.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
23,,"RIVER SUBARNAREKHA AT
RANCHI, (TATISILWAI)",JHARKHAND,,11.0,
24,,"RIVER SUBARNAREKHA AT
JAMSHEDPUR",JHARKHAND,,18.0,
48,,"RIVER SUBARNAREKHA AT
CHANDIL BRIDGE",JHARKHAND,,20.0,
49,,"RIVER SUBARNAREKHA AT
D/S JAMSHEDPUR, (TATA
NAGAR)",JHARKHAND,,16.0,
1641,,"RIVER SUBARNAREKHA AT
RAJGHAT (THENGUDIA)",ODISHA,,22.0,
2385,,"RIVER SUBARNAREKHA AT
NAMKUM ROAD BRIDGE",JHARKHAND,,12.0,
2386,,"RIVER SUBARNAREKHA AT
MURI ROAD BRIDGE",JHARKHAND,,11.0,
2387,,"RIVER SUBAREKHA AT
GHATISLA ROAD BRIDGE",JHARKHAND,,21.0,
2395,,"RIVER SUBARNAREKHA AT
HATIA DAM",JHARKHAND,,10.0,
2397,,"RIVER SUBARNAREKHA AT
GATALSUD DAM",JHARKHAND,,10.0,
2399,,"RIVER SUBARNAREKHA AT
CHANDIL DAM",JHARKHAND,,21.0,
4743,,"RIVER SUBARNREKHA U/S
HCL GHATSHILA, E.S",JHARKHAND,,21.0,
4744,,"RIVER SUBARNREKHA
BEFORE MEETING KHARKAI
RIVER",JHARKHAND,,18.0,
4746,,"RIVER SUBARNREKHA AFTER
CONFLUENCE OF KHARKAI
RIVER",JHARKHAND,,23.0,
4748,,"RIVER SWARNKEKHA AT
BAHARAGORA ROAD
BRIDGE, P.O- BAHARAGORA,
E.S",JHARKHAND,,17.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
4749,,"RIVER SUBARNREKHA , NEAR
RING ROAD BRIDGE SEMBO,
NAGRI, RANCHI",JHARKHAND,,10.0,
4750,,"RIVER SUBARNREKHA NEAR
INTAKE WELL HATIA
RAILWAY",JHARKHAND,,10.0,
4084,,"RIVER SURBARNREKHA AT
HATIA ROAD BRIDGE,
RANCHI",JHARKHAND,,10.0,
4752,,"RIVER SUBARNREKHA NEAR
OBERIA ROAD BRIDGE,
HATIA RANCH",JHARKHAND,,10.0,
30067,,"RIVER SUBARNAREKHA AT
BEHRAGORA (JHARKHAND)",JHARKHAND,,22.0,
30068,,"RIVER SUBARNAREKHA AT
GOPIBALLAVPUR (WEST
BENGAL)",WEST BENGAL,,23.0,
30069,,"RIVER SUBARNAREKHA AT
LAKHANNATH (ORISSA)",ODISHA,,22.0,
30090,,"RIVER SUBARNAREKHA AT
JHARKHAND - WEST BENGAL
BORDER, MEDINIPORE(W),
WEST BENGAL",WEST BENGAL,,24.0,
4086,,"RIVER SUBARNREKHA U/S
HINDALCO IND LTD, MURLI
WORKS, CHHOTAMURI,
RANCHI",JHARKHAND,,12.0,
4756,,"RIVER SUBARNREKHA AT
RUCCA DAM, RUCCA,
RANCHI",JHARKHAND,,9.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
2423,,"RIVER BUDHABALANGA
AT D/S OF BARIPADA
TOWN",ODISHA,,22.0,
3943,,"RIVER BUDHABALANGA
AT BALASORE U/S",ODISHA,,22.0,
2424,,"RIVER BUDHABALANGA
AT BALASORE D/S",ODISHA,,20.0,
3942,,"RIVER SONO AT
KANANDURGA ROAD
NEAR REMUNA,
HATOGOND",ODISHA,,20.0,
